"","Presentation.Setting","Intervention","Description","Reference.s.","Calculations","model_param","base_case","PSA_distribution","PSA_low","PSA_high","references.calculations.for.distributional.information","DSA_flag","DSA_low","DSA_high","mrs","age"
"192","all","all","female qx (likelihood of dying before next year) at age 0","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.003576,"",NA,NA,"","",NA,NA,NA,0
"193","all","all","female qx (likelihood of dying before next year) at age 1","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000218,"",NA,NA,"","",NA,NA,NA,1
"194","all","all","female qx (likelihood of dying before next year) at age 2","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000137,"",NA,NA,"","",NA,NA,NA,2
"195","all","all","female qx (likelihood of dying before next year) at age 3","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000093,"",NA,NA,"","",NA,NA,NA,3
"196","all","all","female qx (likelihood of dying before next year) at age 4","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000074,"",NA,NA,"","",NA,NA,NA,4
"197","all","all","female qx (likelihood of dying before next year) at age 5","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000069,"",NA,NA,"","",NA,NA,NA,5
"198","all","all","female qx (likelihood of dying before next year) at age 6","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000067,"",NA,NA,"","",NA,NA,NA,6
"199","all","all","female qx (likelihood of dying before next year) at age 7","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000057,"",NA,NA,"","",NA,NA,NA,7
"200","all","all","female qx (likelihood of dying before next year) at age 8","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000059,"",NA,NA,"","",NA,NA,NA,8
"201","all","all","female qx (likelihood of dying before next year) at age 9","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000058,"",NA,NA,"","",NA,NA,NA,9
"202","all","all","female qx (likelihood of dying before next year) at age 10","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000064,"",NA,NA,"","",NA,NA,NA,10
"203","all","all","female qx (likelihood of dying before next year) at age 11","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.00007,"",NA,NA,"","",NA,NA,NA,11
"204","all","all","female qx (likelihood of dying before next year) at age 12","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000066,"",NA,NA,"","",NA,NA,NA,12
"205","all","all","female qx (likelihood of dying before next year) at age 13","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000103,"",NA,NA,"","",NA,NA,NA,13
"206","all","all","female qx (likelihood of dying before next year) at age 14","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.00009,"",NA,NA,"","",NA,NA,NA,14
"207","all","all","female qx (likelihood of dying before next year) at age 15","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000131,"",NA,NA,"","",NA,NA,NA,15
"208","all","all","female qx (likelihood of dying before next year) at age 16","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000123,"",NA,NA,"","",NA,NA,NA,16
"209","all","all","female qx (likelihood of dying before next year) at age 17","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000162,"",NA,NA,"","",NA,NA,NA,17
"210","all","all","female qx (likelihood of dying before next year) at age 18","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000178,"",NA,NA,"","",NA,NA,NA,18
"211","all","all","female qx (likelihood of dying before next year) at age 19","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.00019,"",NA,NA,"","",NA,NA,NA,19
"212","all","all","female qx (likelihood of dying before next year) at age 20","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000235,"",NA,NA,"","",NA,NA,NA,20
"213","all","all","female qx (likelihood of dying before next year) at age 21","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000227,"",NA,NA,"","",NA,NA,NA,21
"214","all","all","female qx (likelihood of dying before next year) at age 22","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000216,"",NA,NA,"","",NA,NA,NA,22
"215","all","all","female qx (likelihood of dying before next year) at age 23","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000248,"",NA,NA,"","",NA,NA,NA,23
"216","all","all","female qx (likelihood of dying before next year) at age 24","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000248,"",NA,NA,"","",NA,NA,NA,24
"217","all","all","female qx (likelihood of dying before next year) at age 25","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000238,"",NA,NA,"","",NA,NA,NA,25
"218","all","all","female qx (likelihood of dying before next year) at age 26","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000278,"",NA,NA,"","",NA,NA,NA,26
"219","all","all","female qx (likelihood of dying before next year) at age 27","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.00031,"",NA,NA,"","",NA,NA,NA,27
"220","all","all","female qx (likelihood of dying before next year) at age 28","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.00033,"",NA,NA,"","",NA,NA,NA,28
"221","all","all","female qx (likelihood of dying before next year) at age 29","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000344,"",NA,NA,"","",NA,NA,NA,29
"222","all","all","female qx (likelihood of dying before next year) at age 30","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000363,"",NA,NA,"","",NA,NA,NA,30
"223","all","all","female qx (likelihood of dying before next year) at age 31","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000396,"",NA,NA,"","",NA,NA,NA,31
"224","all","all","female qx (likelihood of dying before next year) at age 32","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000464,"",NA,NA,"","",NA,NA,NA,32
"225","all","all","female qx (likelihood of dying before next year) at age 33","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000488,"",NA,NA,"","",NA,NA,NA,33
"226","all","all","female qx (likelihood of dying before next year) at age 34","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000573,"",NA,NA,"","",NA,NA,NA,34
"227","all","all","female qx (likelihood of dying before next year) at age 35","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000631,"",NA,NA,"","",NA,NA,NA,35
"228","all","all","female qx (likelihood of dying before next year) at age 36","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000622,"",NA,NA,"","",NA,NA,NA,36
"229","all","all","female qx (likelihood of dying before next year) at age 37","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000744,"",NA,NA,"","",NA,NA,NA,37
"230","all","all","female qx (likelihood of dying before next year) at age 38","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.00087,"",NA,NA,"","",NA,NA,NA,38
"231","all","all","female qx (likelihood of dying before next year) at age 39","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.000943,"",NA,NA,"","",NA,NA,NA,39
"232","all","all","female qx (likelihood of dying before next year) at age 40","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.001004,"",NA,NA,"","",NA,NA,NA,40
"233","all","all","female qx (likelihood of dying before next year) at age 41","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.001077,"",NA,NA,"","",NA,NA,NA,41
"234","all","all","female qx (likelihood of dying before next year) at age 42","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.001199,"",NA,NA,"","",NA,NA,NA,42
"235","all","all","female qx (likelihood of dying before next year) at age 43","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.001238,"",NA,NA,"","",NA,NA,NA,43
"236","all","all","female qx (likelihood of dying before next year) at age 44","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.001387,"",NA,NA,"","",NA,NA,NA,44
"237","all","all","female qx (likelihood of dying before next year) at age 45","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.001473,"",NA,NA,"","",NA,NA,NA,45
"238","all","all","female qx (likelihood of dying before next year) at age 46","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.00163,"",NA,NA,"","",NA,NA,NA,46
"239","all","all","female qx (likelihood of dying before next year) at age 47","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.001917,"",NA,NA,"","",NA,NA,NA,47
"240","all","all","female qx (likelihood of dying before next year) at age 48","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.001989,"",NA,NA,"","",NA,NA,NA,48
"241","all","all","female qx (likelihood of dying before next year) at age 49","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.00213,"",NA,NA,"","",NA,NA,NA,49
"242","all","all","female qx (likelihood of dying before next year) at age 50","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.00237,"",NA,NA,"","",NA,NA,NA,50
"243","all","all","female qx (likelihood of dying before next year) at age 51","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.002534,"",NA,NA,"","",NA,NA,NA,51
"244","all","all","female qx (likelihood of dying before next year) at age 52","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.002682,"",NA,NA,"","",NA,NA,NA,52
"245","all","all","female qx (likelihood of dying before next year) at age 53","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.00297,"",NA,NA,"","",NA,NA,NA,53
"246","all","all","female qx (likelihood of dying before next year) at age 54","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.003171,"",NA,NA,"","",NA,NA,NA,54
"247","all","all","female qx (likelihood of dying before next year) at age 55","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.003486,"",NA,NA,"","",NA,NA,NA,55
"248","all","all","female qx (likelihood of dying before next year) at age 56","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.00381,"",NA,NA,"","",NA,NA,NA,56
"249","all","all","female qx (likelihood of dying before next year) at age 57","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.004142,"",NA,NA,"","",NA,NA,NA,57
"250","all","all","female qx (likelihood of dying before next year) at age 58","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.004393,"",NA,NA,"","",NA,NA,NA,58
"251","all","all","female qx (likelihood of dying before next year) at age 59","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.0048,"",NA,NA,"","",NA,NA,NA,59
"252","all","all","female qx (likelihood of dying before next year) at age 60","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.005261,"",NA,NA,"","",NA,NA,NA,60
"253","all","all","female qx (likelihood of dying before next year) at age 61","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.005611,"",NA,NA,"","",NA,NA,NA,61
"254","all","all","female qx (likelihood of dying before next year) at age 62","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.006329,"",NA,NA,"","",NA,NA,NA,62
"255","all","all","female qx (likelihood of dying before next year) at age 63","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.006988,"",NA,NA,"","",NA,NA,NA,63
"256","all","all","female qx (likelihood of dying before next year) at age 64","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.007654,"",NA,NA,"","",NA,NA,NA,64
"257","all","all","female qx (likelihood of dying before next year) at age 65","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.008264,"",NA,NA,"","",NA,NA,NA,65
"258","all","all","female qx (likelihood of dying before next year) at age 66","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.009233,"",NA,NA,"","",NA,NA,NA,66
"259","all","all","female qx (likelihood of dying before next year) at age 67","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.010077,"",NA,NA,"","",NA,NA,NA,67
"260","all","all","female qx (likelihood of dying before next year) at age 68","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.011079,"",NA,NA,"","",NA,NA,NA,68
"261","all","all","female qx (likelihood of dying before next year) at age 69","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.011983,"",NA,NA,"","",NA,NA,NA,69
"262","all","all","female qx (likelihood of dying before next year) at age 70","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.013278,"",NA,NA,"","",NA,NA,NA,70
"263","all","all","female qx (likelihood of dying before next year) at age 71","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.014295,"",NA,NA,"","",NA,NA,NA,71
"264","all","all","female qx (likelihood of dying before next year) at age 72","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.015755,"",NA,NA,"","",NA,NA,NA,72
"265","all","all","female qx (likelihood of dying before next year) at age 73","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.017375,"",NA,NA,"","",NA,NA,NA,73
"266","all","all","female qx (likelihood of dying before next year) at age 74","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.019117,"",NA,NA,"","",NA,NA,NA,74
"267","all","all","female qx (likelihood of dying before next year) at age 75","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.021578,"",NA,NA,"","",NA,NA,NA,75
"268","all","all","female qx (likelihood of dying before next year) at age 76","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.023931,"",NA,NA,"","",NA,NA,NA,76
"269","all","all","female qx (likelihood of dying before next year) at age 77","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.027347,"",NA,NA,"","",NA,NA,NA,77
"270","all","all","female qx (likelihood of dying before next year) at age 78","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.030819,"",NA,NA,"","",NA,NA,NA,78
"271","all","all","female qx (likelihood of dying before next year) at age 79","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.034443,"",NA,NA,"","",NA,NA,NA,79
"272","all","all","female qx (likelihood of dying before next year) at age 80","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.039758,"",NA,NA,"","",NA,NA,NA,80
"273","all","all","female qx (likelihood of dying before next year) at age 81","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.044951,"",NA,NA,"","",NA,NA,NA,81
"274","all","all","female qx (likelihood of dying before next year) at age 82","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.050919,"",NA,NA,"","",NA,NA,NA,82
"275","all","all","female qx (likelihood of dying before next year) at age 83","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.056946,"",NA,NA,"","",NA,NA,NA,83
"276","all","all","female qx (likelihood of dying before next year) at age 84","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.064079,"",NA,NA,"","",NA,NA,NA,84
"277","all","all","female qx (likelihood of dying before next year) at age 85","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.072362,"",NA,NA,"","",NA,NA,NA,85
"278","all","all","female qx (likelihood of dying before next year) at age 86","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.082843,"",NA,NA,"","",NA,NA,NA,86
"279","all","all","female qx (likelihood of dying before next year) at age 87","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.092958,"",NA,NA,"","",NA,NA,NA,87
"280","all","all","female qx (likelihood of dying before next year) at age 88","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.106713,"",NA,NA,"","",NA,NA,NA,88
"281","all","all","female qx (likelihood of dying before next year) at age 89","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.119764,"",NA,NA,"","",NA,NA,NA,89
"282","all","all","female qx (likelihood of dying before next year) at age 90","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.135907,"",NA,NA,"","",NA,NA,NA,90
"283","all","all","female qx (likelihood of dying before next year) at age 91","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.15343,"",NA,NA,"","",NA,NA,NA,91
"284","all","all","female qx (likelihood of dying before next year) at age 92","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.173126,"",NA,NA,"","",NA,NA,NA,92
"285","all","all","female qx (likelihood of dying before next year) at age 93","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.192398,"",NA,NA,"","",NA,NA,NA,93
"286","all","all","female qx (likelihood of dying before next year) at age 94","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.211134,"",NA,NA,"","",NA,NA,NA,94
"287","all","all","female qx (likelihood of dying before next year) at age 95","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.232814,"",NA,NA,"","",NA,NA,NA,95
"288","all","all","female qx (likelihood of dying before next year) at age 96","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.253165,"",NA,NA,"","",NA,NA,NA,96
"289","all","all","female qx (likelihood of dying before next year) at age 97","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.279228,"",NA,NA,"","",NA,NA,NA,97
"290","all","all","female qx (likelihood of dying before next year) at age 98","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.305142,"",NA,NA,"","",NA,NA,NA,98
"291","all","all","female qx (likelihood of dying before next year) at age 99","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.325367,"",NA,NA,"","",NA,NA,NA,99
"292","all","all","female qx (likelihood of dying before next year) at age 100","National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",NA,"fqx",0.354972,"",NA,NA,"","",NA,NA,NA,100
"293","all","all","proportion male","Impact of Artificial Intelligence Imaging Decision Support Software on Treatment of Acute Ischemic Stroke in England [In submission] ",NA,"p.male",0.531,"",NA,NA,"","",NA,NA,NA,NA
"294","all","all","relative risk of mortality","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"rr.mort",1,"",NA,NA,"","",NA,NA,0,NA
"295","all","all","relative risk of mortality","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"rr.mort",1,"",NA,NA,"","",NA,NA,1,NA
"296","all","all","relative risk of mortality","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"rr.mort",1.12,"lognormal",0.82,1.56,"","",NA,NA,2,NA
"297","all","all","relative risk of mortality","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"rr.mort",1.66,"lognormal",1.24,2.23,"","",NA,NA,3,NA
"298","all","all","relative risk of mortality","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"rr.mort",1.92,"lognormal",1.41,2.61,"","",NA,NA,4,NA
"299","all","all","relative risk of mortality","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"rr.mort",2.57,"lognormal",1.92,3.43,"","",NA,NA,5,NA
"300","all","all","willingness-to-pay threshold of £ per QALY gained","nice.org.uk/process/pmg36/resources/nice-health-technology-evaluations-the-manual-pdf-72286779244741",NA,"wtp",20000,"",NA,NA,"","",NA,NA,NA,NA
